epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4487,2.77038,2.46786,1.06413,0.33312,0.2045,0.16602,0.05547,2.97015,2.48753,1.00601,0.000664327,0.000664327,0.000664327
2,137.573,2.72969,1.92481,1.03366,0.32099,0.21022,0.16648,0.05664,2.97839,2.09588,1.00573,0.00131782,0.00131782,0.00131782
3,202.466,2.75778,1.84443,1.02741,0.3048,0.20398,0.16024,0.0488,3.14253,2.47802,0.98848,0.00195811,0.00195811,0.00195811
4,267.586,2.71847,1.83011,1.01583,0.34068,0.2315,0.19942,0.06878,2.90291,2.00724,0.96635,0.0019406,0.0019406,0.0019406
5,332.96,2.70376,1.80334,1.01556,0.3897,0.23432,0.2083,0.07109,2.86521,2.54006,0.98502,0.0019208,0.0019208,0.0019208
6,397.687,2.64664,1.70007,1.00533,0.40448,0.24917,0.23265,0.08145,2.80543,1.80824,0.95671,0.001901,0.001901,0.001901
7,462.523,2.58386,1.65972,0.99409,0.42632,0.23924,0.24112,0.08632,2.7716,1.97326,0.96448,0.0018812,0.0018812,0.0018812
8,527.044,2.58008,1.67309,0.9906,0.39454,0.25584,0.23315,0.08125,2.80251,1.98641,0.95169,0.0018614,0.0018614,0.0018614
9,591.484,2.56362,1.63312,0.98965,0.39496,0.27651,0.25278,0.08692,2.76052,1.83882,0.94607,0.0018416,0.0018416,0.0018416
10,655.531,2.54824,1.62692,0.98207,0.41997,0.27149,0.25964,0.0946,2.67565,1.77267,0.94302,0.0018218,0.0018218,0.0018218
11,720.503,2.58005,1.65303,0.99796,0.44777,0.28504,0.27396,0.09683,2.66631,1.7405,0.94599,0.001802,0.001802,0.001802
12,784.713,2.52761,1.60704,0.97305,0.45932,0.29165,0.28633,0.10638,2.61034,1.72972,0.93315,0.0017822,0.0017822,0.0017822
13,849.103,2.47905,1.55888,0.97627,0.46643,0.29794,0.28974,0.10392,2.61499,1.74577,0.93658,0.0017624,0.0017624,0.0017624
14,913.414,2.47524,1.55187,0.96709,0.46561,0.30506,0.30096,0.11156,2.58658,1.66948,0.92832,0.0017426,0.0017426,0.0017426
15,978.402,2.46372,1.55321,0.97642,0.46423,0.29977,0.29232,0.10823,2.64354,1.68519,0.94133,0.0017228,0.0017228,0.0017228
16,1042.97,2.47292,1.5462,0.96668,0.44455,0.2855,0.27437,0.1,2.69808,1.67769,0.93244,0.001703,0.001703,0.001703
17,1106.92,2.4853,1.548,0.96692,0.47212,0.31824,0.31225,0.11623,2.54187,1.63407,0.92321,0.0016832,0.0016832,0.0016832
18,1171.02,2.43694,1.51578,0.96832,0.45514,0.29719,0.28716,0.10462,2.63008,1.71536,0.92403,0.0016634,0.0016634,0.0016634
19,1234.96,2.42875,1.49046,0.95821,0.47151,0.31411,0.31188,0.11512,2.56035,1.63359,0.92101,0.0016436,0.0016436,0.0016436
20,1302.27,2.42434,1.4998,0.96761,0.49031,0.32368,0.32644,0.12379,2.51534,1.58267,0.91654,0.0016238,0.0016238,0.0016238
21,1367.82,2.41427,1.47249,0.95712,0.49149,0.31787,0.32177,0.12167,2.51036,1.59049,0.91702,0.001604,0.001604,0.001604
22,1432.6,2.41514,1.47807,0.95951,0.49952,0.32624,0.32874,0.12279,2.52106,1.59908,0.92381,0.0015842,0.0015842,0.0015842
23,1497.33,2.34668,1.43583,0.9587,0.47828,0.31674,0.31657,0.11541,2.52544,1.62075,0.9172,0.0015644,0.0015644,0.0015644
24,1561.81,2.36946,1.43537,0.95747,0.4913,0.32532,0.33036,0.12596,2.49913,1.59063,0.91574,0.0015446,0.0015446,0.0015446
25,1626.08,2.37607,1.45669,0.96355,0.48742,0.33333,0.33357,0.12525,2.49553,1.57488,0.91427,0.0015248,0.0015248,0.0015248
26,1691.12,2.35939,1.428,0.96068,0.48816,0.32677,0.32944,0.12494,2.51912,1.58506,0.91523,0.001505,0.001505,0.001505
27,1756.13,2.31004,1.39962,0.95006,0.50073,0.32869,0.33532,0.12634,2.50749,1.56751,0.91249,0.0014852,0.0014852,0.0014852
28,1820.37,2.34285,1.43065,0.96195,0.50355,0.33122,0.336,0.1275,2.4989,1.56604,0.91812,0.0014654,0.0014654,0.0014654
29,1884.65,2.36145,1.43319,0.95283,0.52501,0.33694,0.34856,0.13428,2.44423,1.54506,0.91045,0.0014456,0.0014456,0.0014456
30,1948.94,2.35705,1.43379,0.95735,0.50976,0.33465,0.34308,0.1312,2.47219,1.51703,0.91241,0.0014258,0.0014258,0.0014258
31,2013.3,2.34101,1.41246,0.9536,0.51836,0.3323,0.34568,0.13343,2.46755,1.55638,0.91357,0.001406,0.001406,0.001406
32,2077.49,2.30965,1.41254,0.94358,0.51762,0.33347,0.34838,0.13391,2.456,1.52817,0.91063,0.0013862,0.0013862,0.0013862
33,2141.62,2.33712,1.40451,0.95285,0.50854,0.34715,0.34691,0.133,2.43795,1.60647,0.91216,0.0013664,0.0013664,0.0013664
34,2205.86,2.30153,1.38806,0.94899,0.53366,0.35387,0.36479,0.13997,2.43166,1.49375,0.9064,0.0013466,0.0013466,0.0013466
35,2270.43,2.29396,1.37565,0.94183,0.51278,0.34712,0.35505,0.13614,2.41933,1.51766,0.90664,0.0013268,0.0013268,0.0013268
36,2335.45,2.32801,1.39775,0.93805,0.51887,0.34112,0.35271,0.13581,2.43703,1.55609,0.90831,0.001307,0.001307,0.001307
37,2399.57,2.30796,1.37117,0.93867,0.51981,0.34764,0.35437,0.13578,2.43048,1.51867,0.90743,0.0012872,0.0012872,0.0012872
38,2463.53,2.29058,1.3677,0.94269,0.52784,0.34691,0.35804,0.13842,2.42408,1.52055,0.90534,0.0012674,0.0012674,0.0012674
39,2527.23,2.31278,1.36825,0.94727,0.51749,0.34337,0.35175,0.13372,2.44358,1.52461,0.90512,0.0012476,0.0012476,0.0012476
40,2591.77,2.27426,1.34133,0.9438,0.53022,0.35424,0.36398,0.14188,2.41485,1.50242,0.90674,0.0012278,0.0012278,0.0012278
41,2655.98,2.27885,1.36059,0.93703,0.52853,0.36107,0.36634,0.14255,2.3993,1.50161,0.90641,0.001208,0.001208,0.001208
42,2721.02,2.25128,1.32876,0.93115,0.52506,0.35054,0.36258,0.14103,2.42935,1.49432,0.90416,0.0011882,0.0011882,0.0011882
43,2785.24,2.26879,1.34004,0.94155,0.51143,0.35007,0.35342,0.13614,2.45044,1.49338,0.90408,0.0011684,0.0011684,0.0011684
44,2849.97,2.28879,1.34681,0.93551,0.52123,0.35767,0.36577,0.14249,2.40523,1.46713,0.90233,0.0011486,0.0011486,0.0011486
45,2914.19,2.24249,1.32553,0.93473,0.52737,0.35546,0.37116,0.14457,2.40005,1.46953,0.90075,0.0011288,0.0011288,0.0011288
46,2978.36,2.25242,1.32746,0.93235,0.53591,0.35424,0.36953,0.14385,2.38436,1.46387,0.89941,0.001109,0.001109,0.001109
47,3042.39,2.2496,1.33495,0.9342,0.53823,0.36062,0.37687,0.14997,2.37997,1.45696,0.90142,0.0010892,0.0010892,0.0010892
48,3106.69,2.25564,1.32087,0.93438,0.5446,0.36057,0.37715,0.14772,2.38247,1.44606,0.89925,0.0010694,0.0010694,0.0010694
49,3170.67,2.2338,1.33527,0.9406,0.55029,0.36334,0.37969,0.14936,2.37696,1.44281,0.89973,0.0010496,0.0010496,0.0010496
50,3235.05,2.2435,1.31346,0.93407,0.54245,0.36446,0.37938,0.14701,2.38078,1.44499,0.89868,0.0010298,0.0010298,0.0010298
51,3299.66,2.24009,1.3067,0.93056,0.54085,0.36024,0.37624,0.14618,2.39343,1.43963,0.89793,0.00101,0.00101,0.00101
52,3364.43,2.25776,1.30931,0.92912,0.55035,0.37225,0.38471,0.15002,2.3731,1.44321,0.89929,0.0009902,0.0009902,0.0009902
53,3429.08,2.23553,1.31188,0.93272,0.53633,0.36253,0.3775,0.14873,2.38183,1.44588,0.89678,0.0009704,0.0009704,0.0009704
54,3493.87,2.22925,1.31477,0.92534,0.55265,0.36789,0.38503,0.15246,2.34759,1.42981,0.8946,0.0009506,0.0009506,0.0009506
55,3558.95,2.2428,1.30069,0.93472,0.54083,0.37065,0.38385,0.15148,2.35233,1.44106,0.89628,0.0009308,0.0009308,0.0009308
56,3622.86,2.2369,1.29637,0.92936,0.55584,0.36906,0.38641,0.15235,2.36571,1.4291,0.89957,0.000911,0.000911,0.000911
57,3686.91,2.20141,1.27715,0.92963,0.56261,0.37111,0.39077,0.1538,2.35316,1.42877,0.89478,0.0008912,0.0008912,0.0008912
58,3750.96,2.2023,1.26514,0.93289,0.56003,0.36878,0.38656,0.15232,2.35654,1.42249,0.89491,0.0008714,0.0008714,0.0008714
59,3815.22,2.2024,1.28713,0.92721,0.54903,0.36582,0.38507,0.15182,2.37,1.42535,0.89391,0.0008516,0.0008516,0.0008516
60,3880.17,2.20655,1.28511,0.92694,0.54834,0.37698,0.39055,0.15531,2.3475,1.4145,0.89581,0.0008318,0.0008318,0.0008318
61,3944.29,2.19711,1.27876,0.92556,0.55924,0.37651,0.39335,0.15498,2.34016,1.40385,0.89327,0.000812,0.000812,0.000812
62,4009.3,2.23033,1.29262,0.92662,0.56246,0.37557,0.39367,0.15623,2.34534,1.40346,0.8937,0.0007922,0.0007922,0.0007922
63,4073.85,2.18613,1.26154,0.92202,0.56213,0.376,0.39536,0.15847,2.32747,1.39721,0.89248,0.0007724,0.0007724,0.0007724
64,4138.39,2.17773,1.24999,0.92943,0.57207,0.37591,0.39646,0.15861,2.32991,1.40628,0.89418,0.0007526,0.0007526,0.0007526
65,4202.98,2.17253,1.26965,0.92612,0.5583,0.37482,0.39479,0.15733,2.34094,1.40189,0.89379,0.0007328,0.0007328,0.0007328
66,4267.25,2.15636,1.23887,0.92606,0.56664,0.37656,0.39705,0.15783,2.32697,1.39654,0.89093,0.000713,0.000713,0.000713
67,4331.49,2.18244,1.25629,0.92122,0.57313,0.37722,0.40038,0.16028,2.30746,1.39257,0.88963,0.0006932,0.0006932,0.0006932
